CCSO,ARRMAP,Col1,Col2
100-US000002642S,ARR23843,,
100-US000002644S,ARR26580,,
100-US000002644S,ARR23840,,
100-US000002646S,ARR23757,,
100-US000002647S,ARR26428,,
100-US000002647S,ARR23786,,
100-US000002649S,ARR23880,,
100-US000002650S,ARR26368,,
100-US000002650S,ARR23775,,
100-US000002651S,ARR23883,,
100-US000002653S,ARR23775,,
100-US000002656S,ARR26161,,
100-US000002656S,ARR28112,,
100-US000002656S,ARR23933,,
100-US000002657S,ARR23634,,
100-US000002659S,ARR23930,,
100-US000002661S,ARR23955,,
100-US000002662S,ARR23925,,
100-US000002663S,ARR26593,,
100-US000002663S,ARR28631,,
100-US000002663S,ARR23972,,
100-US000002665S,ARR26518,,
100-US000002665S,ARR28445,,
100-US000002665S,ARR23978,,
100-US000002667S,ARR24144,,
100-US000002675S,ARR23765,,
100-US000002677S,ARR23989,,
100-US000002679S,ARR26635,,
100-US000002679S,ARR24008,,
100-US000002680S,ARR23796,,
100-US000002685S,ARR24069,,
100-US000002686S,ARR26243,,
100-US000002686S,ARR28316,,
100-US000002686S,ARR24076,,
100-US000002687S,ARR23912,,
100-US000002690S,ARR26493,,
100-US000002690S,ARR28021,,
100-US000002690S,ARR24077,,
100-US000002692S,ARR23912,,
100-US000002698S,ARR24091,,
100-US000002699S,ARR26629,,
100-US000002699S,ARR28392,,
100-US000002699S,ARR24112,,
100-US000002702S,ARR28329,,
100-US000002702S,ARR24137,,
100-US000002705S,ARR26377,,
100-US000002705S,ARR24176,,
100-US000002706S,ARR24072,,
100-US000002707S,ARR24038,,
100-US000002708S,ARR26941,,
100-US000002708S,ARR28488,,
100-US000002708S,ARR24072,,
100-US000002709S,ARR24038,,
100-US000002710S,ARR24038,,
100-US000002710S,ARR28513,,
100-US000002712S,ARR27884,,
100-US000002712S,ARR24128,,
100-US000002713S,ARR24038,,
100-US000002715S,ARR23972,,
100-US000002718S,ARR24086,,
100-US000002719S,ARR25609,,
100-US000002720S,ARR24136,,
100-US000002721S,ARR23964,,
100-US000002722S,ARR24072,,
100-US000002723S,ARR24072,,
100-US000002724S,ARR26636,,
100-US000002724S,ARR28483,,
100-US000002724S,ARR24131,,
100-US000002726S,ARR24073,,
100-US000002727S,ARR24008,,
100-US000002728S,ARR26700,,
100-US000002728S,ARR24222,,
100-US000002729S,ARR24030,,
100-US000002732S,ARR24072,,
100-US000002733S,ARR24035,,
100-US000002734S,ARR27395,,
100-US000002734S,ARR23912,,
100-US000002737S,ARR24118,,
100-US000002738S,ARR24038,,
100-US000002739S,ARR24038,,
100-US000002739S,ARR28513,,
100-US000002742S,ARR24038,,
100-US000002742S,ARR28513,,
100-US000002743S,ARR24038,,
100-US000002746S,ARR24038,,
100-US000002746S,ARR28513,,
100-US000002748S,ARR24118,,
100-US000002749S,ARR24271,,
100-US000002750S,ARR24252,,
100-US000002751S,ARR28651,,
100-US000002751S,ARR24257,,
100-US000002754S,ARR28241,,
100-US000002756S,ARR24118,,
100-US000002757S,ARR24203,,
100-US000002758S,ARR24396,,
100-US000002759S,ARR27027,,
100-US000002759S,ARR28613,,
100-US000002759S,ARR24383,,
100-US000002760S,ARR24382,,
100-US000002761S,ARR24585,,
100-US000002761S,ARR28631,,
100-US000002762S,ARR24587,,
100-US000002762S,ARR28631,,
100-US000002763S,ARR24584,,
100-US000002763S,ARR28631,,
100-US000002767S,ARR24210,,
100-US000002767S,ARR28631,,
100-US000002768S,ARR24586,,
100-US000002768S,ARR28838,,
100-US000002771S,ARR24415,,
100-US000002775S,ARR27040,,
100-US000002775S,ARR24316,,
100-US000002780S,ARR24508,,
100-US000002781S,ARR24511,,
100-US000002782S,ARR27477,,
100-US000002782S,ARR28618,,
100-US000002782S,ARR24500,,
100-US000002784S,ARR24439,,
100-US000002785S,ARR24494,,
100-US000002786S,ARR27511,,
100-US000002786S,ARR24480,,
100-US000002787S,ARR28577,,
100-US000002789S,ARR24497,,
100-US000002790S,ARR24363,,
100-US000002792S,ARR24594,,
100-US000002792S,ARR28772,,
100-US000002793S,ARR24538,,
100-US000002794S,ARR24353,,
100-US000002795S,ARR24434,,
100-US000002798S,ARR24771,,
100-US000002798S,ARR28631,,
100-US000002799S,ARR26966,,
100-US000002799S,ARR28947,,
100-US000002799S,ARR24538,,
100-US000002800S,ARR24420,,
100-US000002801S,ARR24557,,
100-US000002804S,ARR24252,,
100-US000002805S,ARR24663,,
100-US000002806S,ARR24145,,
100-US000002810S,ARR24535,,
100-US000002811S,ARR27870,,
100-US000002811S,ARR24684,,
100-US000002812S,ARR27157,,
100-US000002812S,ARR28462,,
100-US000002812S,ARR24670,,
100-US000002813S,ARR27147,,
100-US000002813S,ARR28989,,
100-US000002813S,ARR24683,,
100-US000002815S,ARR27774,,
100-US000002815S,ARR28974,,
100-US000002815S,ARR24776,,
100-US000002817S,ARR24691,,
100-US000002818S,ARR24332,,
100-US000002819S,ARR24771,,
100-US000002819S,ARR24773,,
100-US000002821S,ARR24582,,
100-US000002821S,ARR28168,,
100-US000002823S,ARR26991,,
100-US000002823S,ARR28902,,
100-US000002823S,ARR24690,,
100-US000002824S,ARR24631,,
100-US000002824S,ARR27410,,
100-US000002826S,ARR24712,,
100-US000002827S,ARR24502,,
100-US000002829S,ARR24577,,
100-US000002832S,ARR24582,,
100-US000002833S,ARR24582,,
100-US000002834S,ARR24502,,
100-US000002836S,ARR24812,,
100-US000002840S,ARR27008,,
100-US000002840S,ARR24714,,
100-US000002841S,ARR24637,,
100-US000002843S,ARR24827,,
100-US000002844S,ARR24820,,
100-US000002845S,ARR24765,,
100-US000002850S,ARR27748,,
100-US000002850S,ARR24863,,
100-US000002853S,ARR27252,,
100-US000002853S,ARR28449,,
100-US000002853S,ARR24987,,
100-US000002854S,ARR24840,,
100-US000002855S,ARR24740,,
100-US000002856S,ARR27153,,
100-US000002856S,ARR28953,,
100-US000002856S,ARR24861,,
100-US000002859S,ARR24892,,
100-US000002860S,ARR24882,,
100-US000002864S,ARR24740,,
100-US000002865S,ARR24813,,
100-US000002868S,ARR24870,,
100-US000002869S,ARR24907,,
100-US000002873S,ARR24919,,
100-US000002874S,ARR24812,,
100-US000002875S,ARR24872,,
100-US000002876S,ARR24907,,
100-US000002878S,ARR24712,,
100-US000002880S,ARR24631,,
100-US000002881S,ARR25048,,
100-US000002884S,ARR24881,,
100-US000002889S,ARR25031,,
100-US000002891S,ARR25031,,
100-US000002896S,ARR25034,,
100-US000002897S,ARR25018,,
100-US000002898S,ARR24803,,
100-US000002899S,ARR25074,,
100-US000002902S,ARR25011,,
100-US000002903S,ARR25100,,
100-US000002905S,ARR24740,,
100-US000002906S,ARR25072,,
100-US000002911S,ARR27605,,
100-US000002911S,ARR25038,,
100-US000002919S,ARR25088,,
100-US000002919S,ARR28631,,
100-US000002921S,ARR28304,,
100-US000002921S,ARR25145,,
100-US000002922S,ARR25193,,
100-US000002925S,ARR25390,,
100-US000002926S,ARR27793,,
100-US000002926S,ARR25088,,
100-US000002931S,ARR25205,,
100-US000002933S,ARR25089,,
100-US000002934S,ARR25198,,
100-US000002935S,ARR26099,,
100-US000002935S,ARR25388,,
100-US000002938S,ARR25043,,
100-US000002938S,ARR27470,,
100-US000002939S,ARR25092,,
100-US000002947S,ARR25209,,
100-US000002948S,ARR27231,,
100-US000002948S,ARR28995,,
100-US000002948S,ARR25324,,
100-US000002949S,ARR25164,,
100-US000002950S,ARR25389,,
100-US000002953S,ARR25245,,
100-US000002955S,ARR28016,,
100-US000002955S,ARR25341,,
100-US000002956S,ARR25310,,
100-US000002962S,ARR27192,,
100-US000002962S,ARR25399,,
100-US000002963S,ARR25373,,
100-US000002969S,ARR25198,,
100-US000002971S,ARR25383,,
100-US000002974S,ARR25336,,
100-US000002977S,ARR25336,,
100-US000002978S,ARR25389,,
100-US000002980S,ARR24812,,
100-US000002984S,ARR27477,,
100-US000002984S,ARR25374,,
100-US000002985S,ARR27502,,
100-US000002985S,ARR25326,,
100-US000002987S,ARR27839,,
100-US000002987S,ARR23738,,
100-US000002988S,ARR24627,,
100-US000002989S,ARR25535,,
100-US000002990S,ARR25390,,
100-US000002990S,ARR25210,,
100-US000002991S,ARR25531,,
100-US000002993S,ARR25518,,
100-US000002994S,ARR25435,,
100-US000002996S,ARR28022,,
100-US000002996S,ARR25584,,
100-US000002997S,ARR25548,,
100-US000002999S,ARR25563,,
100-US000003000S,ARR25577,,
100-US000003001S,ARR25336,,
100-US000003002S,ARR25441,,
100-US000003003S,ARR28170,,
100-US000003003S,ARR23772,,
100-US000003004S,ARR25238,,
100-US000003006S,ARR25650,,
100-US000003010S,ARR25671,,
100-US000003014S,ARR25669,,
100-US000003018S,ARR25719,,
100-US000003019S,ARR27228,,
100-US000003019S,ARR29116,,
100-US000003019S,ARR25716,,
100-US000003021S,ARR27399,,
100-US000003023S,ARR27728,,
100-US000003023S,ARR25730,,
100-US000003026S,ARR27480,,
100-US000003027S,ARR27719,,
100-US000003027S,ARR25735,,
100-US000003028S,ARR27591,,
100-US000003029S,ARR28100,,
100-US000003031S,ARR25691,,
100-US000003034S,ARR27641,,
100-US000003034S,ARR25744,,
100-US000003035S,ARR27716,,
100-US000003035S,ARR25750,,
100-US000003037S,ARR25705,,
100-US000003039S,ARR27439,,
100-US000003039S,ARR29196,,
100-US000003043S,ARR27459,,
100-US000003048S,ARR25829,,
100-US000003057S,ARR25642,,
100-US000003058S,ARR25787,,
100-US000003058S,ARR28214,,
100-US000003061S,ARR25773,,
100-US000003063S,ARR27757,,
100-US000003064S,ARR25877,,
100-US000003068S,ARR25919,,
100-US000003069S,ARR25691,,
100-US000003070S,ARR25917,,
100-US000003073S,ARR25874,,
100-US000003075S,ARR25778,,
100-US000003076S,ARR25778,,
100-US000003077S,ARR25787,,
100-US000003078S,ARR25950,,
100-US000003081S,ARR25887,,
100-US000003083S,ARR25918,,
100-US000003084S,ARR25845,,
100-US000003085S,ARR25787,,
100-US000003086S,ARR25778,,
100-US000003089S,ARR25984,,
100-US000003091S,ARR25990,,
100-US000003092S,ARR25961,,
100-US000003094S,ARR25963,,
100-US000003094S,ARR28612,,
100-US000003097S,ARR25043,,
100-US000003098S,ARR27658,,
100-US000003099S,ARR25691,,
100-US000003103S,ARR27703,,
100-US000003104S,ARR25691,,
100-US000003106S,ARR26064,,
100-US000003107S,ARR26064,,
100-US000003109S,ARR27628,,
100-US000003110S,ARR27988,,
100-US000003111S,ARR26082,,
100-US000003112S,ARR26117,,
100-US000003113S,ARR26234,,
100-US000003113S,ARR26107,,
100-US000003114S,ARR26224,,
100-US000003114S,ARR25996,,
100-US000003116S,ARR25961,,
100-US000003116S,ARR28283,,
100-US000003120S,ARR26130,,
100-US000003120S,ARR28307,,
100-US000003121S,ARR26156,,
100-US000003125S,ARR26199,,
100-US000003126S,ARR26031,,
100-US000003127S,ARR26247,,
100-US000003128S,ARR26258,,
100-US000003130S,ARR26238,,
100-US000003131S,ARR26234,,
100-US000003137S,ARR26252,,
100-US000003138S,ARR27816,,
100-US000003138S,ARR26343,,
100-US000003139S,ARR26348,,
100-US000003140S,ARR26335,,
100-US000003142S,ARR26378,,
100-US000003145S,ARR26348,,
100-US000003146S,ARR26415,,
100-US000003148S,ARR26376,,
100-US000003150S,ARR26368,,
100-US000003151S,ARR26303,,
100-US000003153S,ARR26303,,
100-US000003154S,ARR27804,,
100-US000003154S,ARR26429,,
100-US000003155S,ARR26420,,
100-US000003161S,ARR28221,,
100-US000003164S,ARR26455,,
100-US000003165S,ARR26332,,
100-US000003166S,ARR26350,,
100-US000003167S,ARR26440,,
100-US000003168S,ARR26401,,
100-US000003173S,ARR26487,,
100-US000003174S,ARR26392,,
100-US000003175S,ARR26392,,
100-US000003175S,ARR28974,,
100-US000003176S,ARR26392,,
100-US000003177S,ARR26505,,
100-US000003177S,ARR28320,,
100-US000003179S,ARR28216,,
100-US000003180S,ARR26511,,
100-US000003182S,ARR27782,,
100-US000003183S,ARR24197,,
100-US000003185S,ARR26494,,
100-US000003190S,ARR26511,,
100-US000003193S,ARR26392,,
100-US000003194S,ARR26601,,
100-US000003195S,ARR26528,,
100-US000003197S,ARR26571,,
100-US000003201S,ARR26455,,
100-US000003202S,ARR26623,,
100-US000003203S,ARR26627,,
100-US000003203S,ARR28034,,
100-US000003204S,ARR26563,,
100-US000003206S,ARR26528,,
100-US000003210S,ARR26644,,
100-US000003212S,ARR26494,,
100-US000003213S,ARR26580,,
100-US000003214S,ARR28808,,
100-US000003214S,ARR26690,,
100-US000003216S,ARR26682,,
100-US000003220S,ARR26644,,
100-US000003221S,ARR26540,,
100-US000003222S,ARR28034,,
100-US000003223S,ARR26604,,
100-US000003226S,ARR26661,,
100-US000003227S,ARR26795,,
100-US000003227S,ARR26556,,
100-US000003228S,ARR26808,,
100-US000003228S,ARR26763,,
100-US000003229S,ARR26661,,
100-US000003230S,ARR26763,,
100-US000003231S,ARR26807,,
100-US000003231S,ARR26763,,
100-US000003232S,ARR26805,,
100-US000003233S,ARR26806,,
100-US000003233S,ARR26754,,
100-US000003235S,ARR26829,,
100-US000003239S,ARR26866,,
100-US000003239S,ARR28901,,
100-US000003241S,ARR26869,,
100-US000003243S,ARR26847,,
100-US000003245S,ARR26829,,
100-US000003245S,ARR28833,,
100-US000003246S,ARR26848,,
100-US000003248S,ARR26902,,
100-US000003253S,ARR26815,,
100-US000003256S,ARR26916,,
100-US000003257S,ARR26943,,
100-US000003258S,ARR26949,,
100-US000003259S,ARR26943,,
100-US000003260S,ARR26943,,
100-US000003261S,ARR26910,,
100-US000003262S,ARR26943,,
100-US000003264S,ARR27002,,
100-US000003265S,ARR26910,,
100-US000003267S,ARR26895,,
100-US000003269S,ARR27133,,
100-US000003269S,ARR28974,,
100-US000003269S,ARR27001,,
100-US000003276S,ARR27025,,
100-US000003277S,ARR27056,,
100-US000003278S,ARR27135,,
100-US000003278S,ARR28974,,
100-US000003278S,ARR27001,,
100-US000003279S,ARR27134,,
100-US000003279S,ARR29146,,
100-US000003279S,ARR27001,,
100-US000003281S,ARR27019,,
100-US000003282S,ARR27012,,
100-US000003283S,ARR27076,,
100-US000003284S,ARR26910,,
100-US000003285S,ARR27046,,
100-US000003291S,ARR27149,,
100-US000003293S,ARR27078,,
100-US000003294S,ARR27132,,
100-US000003296S,ARR26661,,
100-US000003296S,ARR28974,,
100-US000003298S,ARR27108,,
100-US000003304S,ARR27195,,
100-US000003304S,ARR28850,,
100-US000003306S,ARR27078,,
100-US000003310S,ARR27267,,
100-US000003316S,ARR27132,,
100-US000003316S,ARR28974,,
100-US000003317S,ARR27281,,
100-US000003318S,ARR27238,,
100-US000003318S,ARR28843,,
100-US000003320S,ARR27252,,
100-US000003322S,ARR27219,,
100-US000003323S,ARR27291,,
100-US000003324S,ARR27249,,
100-US000003324S,ARR28974,,
100-US000003325S,ARR27046,,
100-US000003328S,ARR27351,,
100-US000003329S,ARR27385,,
100-US000003330S,ARR27365,,
100-US000003334S,ARR27410,,
100-US000003335S,ARR27404,,
100-US000003336S,ARR27449,,
100-US000003337S,ARR27430,,
100-US000003339S,ARR27351,,
100-US000003343S,ARR27495,,
100-US000003345S,ARR27500,,
100-US000003346S,ARR27532,,
100-US000003349S,ARR22854,,
100-US000003353S,ARR27554,,
100-US000003354S,ARR27544,,
100-US000003357S,ARR27395,,
100-US000003358S,ARR27581,,
100-US000003360S,ARR27464,,
100-US000003360S,ARR28631,,
100-US000003367S,ARR27502,,
100-US000003369S,ARR27651,,
100-US000003370S,ARR27576,,
100-US000003371S,ARR27673,,
100-US000003373S,ARR27656,,
100-US000003376S,ARR27743,,
100-US000003379S,ARR27543,,
100-US000003381S,ARR27741,,
100-US000003383S,ARR27544,,
100-US000003387S,ARR27817,,
100-US000003388S,ARR27803,,
100-US000003389S,ARR27747,,
100-US000003391S,ARR27631,,
100-US000003392S,ARR27827,,
100-US000003393S,ARR27774,,
100-US000003399S,ARR27774,,
100-US000003403S,ARR27774,,
100-US000003406S,ARR27954,,
100-US000003408S,ARR27995,,
100-US000003410S,ARR27982,,
100-US000003411S,ARR27932,,
100-US000003412S,ARR28015,,
100-US000003418S,ARR28053,,
100-US000003419S,ARR27996,,
100-US000003421S,ARR28036,,
100-US000003425S,ARR27623,,
100-US000003430S,ARR27982,,
100-US000003436S,ARR28164,,
100-US000003444S,ARR28126,,
100-US000003450S,ARR28229,,
100-US000003451S,ARR28283,,
100-US000003456S,ARR28236,,
100-US000003457S,ARR28283,,
100-US000003459S,ARR27011,,
100-US000003461S,ARR28270,,
100-US000003464S,ARR28193,,
100-US000003465S,ARR28356,,
100-US000003467S,ARR28283,,
100-US000003480S,ARR28405,,
100-US000003481S,ARR28444,,
100-US000003482S,ARR28455,,
100-US000003486S,ARR28494,,
100-US000003487S,ARR28449,,
100-US000003491S,ARR28551,,
100-US000003492S,ARR28444,,
100-US000003493S,ARR28509,,
100-US000003494S,ARR28537,,
100-US000003495S,ARR28558,,
100-US000003496S,ARR28560,,
100-US000003497S,ARR28547,,
100-US000003500S,ARR28444,,
100-US000003502S,ARR28608,,
100-US000003503S,ARR28507,,
100-US000003506S,ARR28466,,
100-US000003507S,ARR28500,,
100-US000003508S,ARR28572,,
100-US000003509S,ARR28681,,
100-US000003510S,ARR28660,,
100-US000003515S,ARR28646,,
100-US000003516S,ARR28651,,
100-US000003521S,ARR28538,,
100-US000003522S,ARR28583,,
100-US000003523S,ARR28709,,
100-US000003525S,ARR28744,,
100-US000003526S,ARR28783,,
100-US000003528S,ARR28805,,
100-US000003530S,ARR28824,,
100-US000003531S,ARR28772,,
100-US000003533S,ARR28841,,
100-US000003542S,ARR28917,,
100-US000003544S,ARR28865,,
100-US000003545S,ARR28825,,
100-US000003547S,ARR29028,,
100-US000003548S,ARR29029,,
100-US000003549S,ARR28988,,
100-US000003550S,ARR29058,,
100-US000003551S,ARR29106,,
100-US000003552S,ARR28974,,
100-US000003553S,ARR28978,,
100-US000003554S,ARR28974,,
100-US000003555S,ARR28974,,
100-US000003556S,ARR29082,,
100-US000003557S,ARR28978,,
100-US000003558S,ARR29121,,
100-US000003559S,Not in RevPro,,
100-US000003560S,ARR29118,,
100-US000003561S,ARR29117,,
100-US000003563S,ARR29039,,
100-US000003564S,ARR29039,,
100-US000003565S,Not in RevPro,,
100-US000003566S,ARR29039,,
100-US000003569S,ARR29134,,
100-US000003570S,ARR29118,,
100-US000003571S,ARR29118,,
200-10053,ARR27987,,
200-10053,ARR25187,,
200-10073,ARR13438,,
200-10073,ARR10208,,
200-10090,ARR10265,,
200-10136,ARR10256,,
200-10228,ARR27540,,
200-10228,ARR22961,,
200-10228,ARR25533,,
200-10248,ARR10225,,
200-10539,ARR24522,,
200-10979,ARR24578,,
200-11060,ARR26782,,
200-11060,ARR28774,,
200-11060,ARR18986,,
200-11060,ARR24180,,
200-11244,ARR10282,,
200-11271,ARR27158,,
200-11271,ARR28853,,
200-11271,ARR24265,,
200-1128319,ARR12334,,
200-1128648,ARR11899,,
200-1129095,ARR11155,,
200-1129163,ARR11138,,
200-1129318,ARR11457,,
200-1129335,ARR11658,,
200-1129385,ARR11266,,
200-1129408,ARR11640,,
200-1129410,ARR12535,,
200-1129411,ARR12524,,
200-11356,ARR27722,,
200-11356,ARR25262,,
200-121283,ARR17787,,
200-1260003,ARR12320,,
200-1260023,ARR12320,,
200-1260037,ARR11453,,
200-1260044,ARR11887,,
200-1260088,ARR11149,,
200-1260112,ARR13036,,
200-1260124,ARR12795,,
200-1260149,ARR12716,,
200-1260150,ARR12716,,
200-1260153,ARR13038,,
200-1260159,ARR16251,,
200-1260167,ARR12955,,
200-1260170,ARR12635,,
200-1260214,ARR13036,,
200-1260238,ARR13036,,
200-1260260,ARR13352,,
200-1260269,ARR13484,,
200-1260281,ARR13413,,
200-1260286,ARR13412,,
200-1260288,ARR13412,,
200-1260299,ARR13412,,
200-1260304,ARR13484,,
200-1260347,ARR13412,,
200-1260385,ARR13905,,
200-1260390,ARR13905,,
200-1260394,ARR14144,,
200-1260428,ARR14097,,
200-1260446,ARR14460,,
200-1260447,ARR14510,,
200-1260462,ARR13937,,
200-1260515,ARR15781,,
200-1260570,ARR14503,,
200-1260577,ARR14360,,
200-1260578,ARR14360,,
200-1260589,ARR14503,,
200-1260627,ARR15780,,
200-1260783,ARR15221,,
200-1260808,ARR14917,,
200-1260812,ARR15007,,
200-1260823,ARR14956,,
200-1260888,ARR15433,,
200-1260897,ARR15736,,
200-1260910,ARR15619,,
200-1260914,ARR15652,,
200-1260915,ARR15628,,
200-1260971,ARR15911,,
200-1260975,ARR15911,,
200-1260991,ARR15972,,
200-1261043,ARR16327,,
200-1261043,ARR25283,,
200-1261047,ARR16330,,
200-1261062,ARR16437,,
200-1261102,ARR16499,,
200-1261107,ARR16532,,
200-1261108,ARR16270,,
200-1261112,ARR16249,,
200-1261128,ARR16486,,
200-1261130,ARR16283,,
200-1261134,ARR16485,,
200-1261161,ARR16718,,
200-1261186,ARR16813,,
200-1261210,ARR16831,,
200-1261214,ARR16607,,
200-1261247,ARR16980,,
200-1261247,ARR16983,,
200-1261249,ARR16851,,
200-1261255,ARR16724,,
200-1261258,ARR16607,,
200-1261260,ARR16917,,
200-1261266,ARR16911,,
200-1261270,ARR16646,,
200-1261348,ARR17297,,
200-1261388,ARR17345,,
200-1261422,ARR17823,,
200-1261430,ARR18010,,
200-1261444,ARR17888,,
200-1261445,ARR17888,,
200-1261481,ARR17963,,
200-1261487,ARR17963,,
200-1261509,ARR17960,,
200-1261584,ARR18010,,
200-1261585,ARR18010,,
200-1261594,ARR18297,,
200-1261650,ARR18422,,
200-1261658,ARR18401,,
200-1261660,ARR18641,,
200-1261695,ARR18689,,
200-1261737,ARR18659,,
200-1261764,ARR18659,,
200-1261796,ARR18918,,
200-1261845,ARR19225,,
200-1261861,ARR19099,,
200-1261889,ARR18962,,
200-1261899,ARR19225,,
200-1261927,ARR19251,,
200-1261938,ARR19199,,
200-1261941,ARR19198,,
200-1261987,ARR19251,,
200-1261999,ARR19250,,
200-1262028,ARR19539,,
200-1262033,ARR19560,,
200-1262041,ARR19643,,
200-1262047,ARR19539,,
200-1262049,ARR19764,,
200-1262062,ARR19651,,
200-1262064,ARR19504,,
200-1262072,ARR19736,,
200-1262088,ARR19561,,
200-1262129,ARR19855,,
200-1262130,ARR19702,,
200-1262132,ARR19702,,
200-1262135,ARR19906,,
200-1262161,ARR19561,,
200-1262208,ARR20205,,
200-1262212,ARR20050,,
200-1262274,ARR20140,,
200-1262282,ARR20380,,
200-1262285,ARR20301,,
200-1262355,ARR20485,,
200-1262388,ARR20549,,
200-1262411,ARR20854,,
200-1262415,ARR20817,,
200-1262484,ARR21034,,
200-1262497,ARR21089,,
200-1262512,ARR21167,,
200-1262515,ARR21161,,
200-1262597,ARR21303,,
200-1262616,ARR21228,,
200-1262618,ARR21228,,
200-1262625,ARR21333,,
200-1262651,ARR21155,,
200-1262653,ARR21155,,
200-1262655,ARR21452,,
200-1262659,ARR21439,,
200-1262662,ARR21194,,
200-1262668,ARR21512,,
200-1262677,ARR21618,,
200-1262758,ARR21797,,
200-1262759,ARR21836,,
200-1262773,ARR21797,,
200-1262774,ARR21919,,
200-1262821,ARR22017,,
200-1262822,ARR22092,,
200-1262828,ARR22092,,
200-1262832,ARR22088,,
200-1262835,ARR22074,,
200-1262836,ARR22130,,
200-1262837,ARR22135,,
200-1262838,ARR22143,,
200-1262841,ARR22162,,
200-1262843,ARR22186,,
200-1262845,ARR22473,,
200-1262850,ARR22277,,
200-1262853,ARR22250,,
200-1262881,ARR22257,,
200-1262883,ARR22256,,
200-1262885,ARR22274,,
200-1262889,ARR22254,,
200-1262889,ARR24908,,
200-1262889,ARR25385,,
200-1262890,ARR22225,,
200-1262892,ARR22330,,
200-1262893,ARR22344,,
200-1262896,ARR22385,,
200-1262897,ARR22332,,
200-1262904,ARR22398,,
200-1262910,ARR22480,,
200-1262911,ARR22480,,
200-1262912,ARR22480,,
200-1262925,ARR22473,,
200-1262927,ARR22533,,
200-1262928,ARR22534,,
200-1262930,ARR22542,,
200-1262931,ARR22559,,
200-1262933,ARR22330,,
200-1262958,ARR22551,,
200-1262964,ARR22330,,
200-1262966,ARR22553,,
200-1262967,ARR22559,,
200-1262969,ARR22618,,
200-1262970,ARR22554,,
200-1262975,ARR22617,,
200-1262978,ARR22641,,
200-1262979,ARR22627,,
200-1262980,ARR22646,,
200-1262984,ARR22665,,
200-1262985,ARR22554,,
200-1262993,ARR22658,,
200-1263001,ARR22674,,
200-1263004,ARR22697,,
200-1263005,ARR22697,,
200-1263006,ARR22646,,
200-1263010,ARR22553,,
200-1263013,ARR22729,,
200-1263017,ARR22761,,
200-1263018,ARR22726,,
200-1263019,ARR22542,,
200-1263021,ARR22749,,
200-1263022,ARR22749,,
200-1263023,ARR22767,,
200-1263024,ARR22760,,
200-1263032,ARR22765,,
200-1263033,ARR22757,,
200-1263034,ARR22757,,
200-1263035,ARR22800,,
200-1263037,ARR22800,,
200-1263039,ARR22785,,
200-1263040,ARR22794,,
200-1263052,ARR22782,,
200-1263054,ARR22783,,
200-1263084,ARR22627,,
200-1263089,ARR22646,,
200-1263091,ARR22837,,
200-1263094,ARR22977,,
200-1263098,ARR22890,,
200-1263101,ARR22912,,
200-1263102,ARR22912,,
200-1263103,ARR22646,,
200-1263108,ARR22892,,
200-1263109,ARR22923,,
200-1263114,ARR23021,,
200-1263115,ARR22896,,
200-1263116,ARR22958,,
200-1263119,ARR22832,,
200-1263120,ARR22832,,
200-1263123,ARR22761,,
200-1263127,ARR23231,,
200-1263132,ARR23004,,
200-1263133,ARR23004,,
200-1263134,ARR22992,,
200-1263135,ARR22992,,
200-1263143,ARR23039,,
200-1263162,ARR23032,,
200-1263164,ARR22761,,
200-1263165,ARR23052,,
200-1263173,ARR23081,,
200-1263174,ARR23105,,
200-1263175,ARR22977,,
200-1263177,ARR23102,,
200-1263189,ARR23146,,
200-1263190,ARR23146,,
200-1263192,ARR23160,,
200-1263198,ARR23149,,
200-1263199,ARR23170,,
200-1263207,ARR23164,,
200-1263208,ARR23134,,
200-1263213,ARR23222,,
200-1263220,ARR23241,,
200-1263225,ARR23272,,
200-1263229,ARR23269,,
200-1263230,ARR23269,,
200-1263232,ARR23146,,
200-1263235,ARR23358,,
200-1263245,ARR23164,,
200-1263264,ARR23314,,
200-1263269,ARR23164,,
200-1263270,ARR23371,,
200-1263271,ARR23345,,
200-1263272,ARR23377,,
200-1263273,ARR23350,,
200-1263280,ARR23391,,
200-1263299,ARR23269,,
200-1263301,ARR23459,,
200-1263311,ARR23511,,
200-1263314,ARR23506,,
200-1263350,ARR23527,,
200-1263351,ARR23459,,
200-1263354,ARR23532,,
200-1263360,ARR23703,,
200-1263361,ARR23506,,
200-1263362,ARR23450,,
200-1263367,ARR23506,,
200-1263383,ARR23459,,
200-1263385,ARR23622,,
200-1263391,ARR23631,,
200-1263396,ARR23532,,
200-1263400,ARR23678,,
200-1263406,ARR23812,,
200-1263407,ARR23674,,
200-1263408,ARR23674,,
200-1263409,ARR23674,,
200-1263410,ARR23676,,
200-1263418,ARR23725,,
200-1263424,ARR23697,,
200-1263453,ARR23709,,
200-1263455,ARR23527,,
200-1263458,ARR23631,,
200-1263459,ARR23631,,
200-1263461,ARR23744,,
200-1263468,ARR23804,,
200-1263469,ARR23931,,
200-1263474,ARR23800,,
200-1263476,ARR23817,,
200-1263480,ARR23820,,
200-1263481,ARR23841,,
200-1263487,ARR23858,,
200-1263488,ARR23846,,
200-1263491,ARR23766,,
200-1263493,ARR23841,,
200-1263500,ARR23913,,
200-1263505,ARR23928,,
200-1263506,ARR23922,,
200-1263508,ARR23766,,
200-1263509,ARR23766,,
200-1263513,ARR23947,,
